# Deleted Objects Ledger
#  Initialized: 2025-11-06
# Purpose: Permanent ledger of retired or obsolete objects.
# No rows are ever removed. Resurrection is annotated in the Notes column.

Object ID,Canonical Name,Date of Deletion,Origin File,Reason,Notes
T144,Adjustandscalerollout,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.3.4 was removed,
T145,DraftofficialmessagingtorolloutincreasesincludecontextonIEEPAtariffskeyimpactedtariffstimelinesandcommunicationtoneandsendtoAdamforreview,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.3 was removed,
T146,Spend30mincomparingpretariffposttariffactualmarginsonPiecePriceIncreasecustomersdownto100ksalestoseeifweactuallymaintainedmargin,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.3 was removed,
T147,Reviewallmyrepsaccountsandconfirmtheapproachwelltakeforthem,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.3 was removed,Bryce (done)NickKyleDave
T148,GroupcustomersbyMeansofImplmentation,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.3 was removed,SurchargePiece Price Increase as neededAM & Sales rep will monitor and increase prices as necessary on parts.Nothing
T149,ReviewBadBoyFMPProjectedfuturevolumestoseeifwedoneedmoreofanincrease,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.3 was removed,
T150,TalktoEduardoabouthisaccountsontheRound2sheet,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.3 was removed,
T151,GettimeinanupcominghuddleanddraftsolidtalktracksforsellingtariffincrasesTHISMONDAY,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.3 was removed,
T152,PushtheRound2sheettothesalesrepsandaskhowtheywanttoinformthemletterorjustdirectlydeliveringincreaseTODAY,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.3 was removed,
T135.1,GetfeedbackfromKarlaongettingaccessforMikeScheweDanCoxJacobPotterLeoRivas,2025-11-13,Projects/Project-Boltwise-Last-Piece.md,Removed from Project-Boltwise-Last-Piece.md during synchronization,
P3.4,PhasesTasks,2025-11-13,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.4.1,Phase1DefineScopeCustomerList,2025-11-13,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.4.2,Phase2FinalizeandRefineAttachmentAContentFormat,2025-11-13,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.4.3,Phase3FinalizeAttachmentAProcessownershipWorkInstructions,2025-11-13,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.4.4,Phase4PilotRollouttoSelectAccounts,2025-11-13,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.4.5,Phase5FullRollouttoTopCustomers,2025-11-13,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.4.6,Phase6FollowupTrackingMetrics,2025-11-13,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P10.4,EvaluateEfficiencyEffectivenessofBoltwisevsCurrentProcess,2025-11-13,Projects/Project-Boltwise-Last-Piece.md,Removed duplicate project ledger entry,
P8.4,PhasesTasks,2025-11-13,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
P8.4.1,Phase1BuildInventoryReportFramework,2025-11-13,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
P8.4.2,Phase2EstablishAccountabilityProcess,2025-11-13,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
P8.4.3,Phase3SchedulingCadence,2025-11-13,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
